"time","name","rssi","snr","battery","humidity","temperature","temperature_probe"
"2025-10-08 12:30:17.116884+00","lht52-01",-104,"7.5",NULL,"44.5","29.24",NULL
"2025-10-08 12:50:17.159377+00","lht52-01",-100,"8",NULL,"44.4","28.8",NULL
"2025-10-08 13:10:17.191562+00","lht52-01",-100,"9.5",NULL,"44.4","28.3",NULL
"2025-10-08 13:30:17.227762+00","lht52-01",-96,"12.8",NULL,"44.6","28.01",NULL
"2025-10-08 13:50:17.26486+00","lht52-01",-95,"11",NULL,"44.9","28.42",NULL
"2025-10-08 14:10:17.326026+00","lht52-01",-95,"6.2",NULL,"44.6","29.05",NULL
"2025-10-08 14:30:17.339598+00","lht52-01",-95,"11.2",NULL,"44.1","29.6",NULL
"2025-10-08 14:50:17.385708+00","lht52-01",-98,"13",NULL,"43.5","30.02",NULL
"2025-10-08 15:10:17.431827+00","lht52-01",-94,"12.8",NULL,"43","30.27",NULL
"2025-10-08 15:30:17.476423+00","lht52-01",-95,"10.8",NULL,"42.6","30.34",NULL
"2025-10-08 15:50:17.508674+00","lht52-01",-95,"12",NULL,"42.4","29.8",NULL
"2025-10-08 16:10:17.547541+00","lht52-01",-96,"12",NULL,"42.5","28.92",NULL
"2025-10-08 16:30:17.570247+00","lht52-01",-95,"11.5",NULL,"43","27.93",NULL
"2025-10-08 16:50:17.615536+00","lht52-01",-96,"10",NULL,"43.6","26.99",NULL
"2025-10-08 17:10:17.677598+00","lht52-01",-95,"10.2",NULL,"44.2","26.15",NULL
"2025-10-08 17:30:17.704733+00","lht52-01",-97,"10.2",NULL,"44.7","25.29",NULL
"2025-10-08 17:50:17.741119+00","lht52-01",-82,"13.8",NULL,"45.3","24.53",NULL
"2025-10-08 18:10:17.772445+00","lht52-01",-82,"11.2",NULL,"45.8","23.83",NULL
"2025-10-08 18:30:17.815202+00","lht52-01",-84,"14",NULL,"46.3","23.2",NULL
"2025-10-08 18:50:17.852483+00","lht52-01",-115,"-4.5",NULL,"46.7","22.59",NULL
"2025-10-08 19:10:17.893173+00","lht52-01",-114,"-2.5",NULL,"47.2","22.03",NULL
"2025-10-08 19:30:17.938954+00","lht52-01",-85,"9.2",NULL,"47.6","21.54",NULL
"2025-10-08 19:50:17.975725+00","lht52-01",-85,"12.5",NULL,"48.1","21.07",NULL
"2025-10-08 20:10:18.021529+00","lht52-01",-106,"-9.8",NULL,"48.5","20.67",NULL
"2025-10-08 20:30:18.048837+00","lht52-01",-114,"-3.2",NULL,"48.8","20.26",NULL
"2025-10-08 20:50:18.084904+00","lht52-01",-82,"11.2",NULL,"49.1","19.89",NULL
"2025-10-08 21:10:18.119059+00","lht52-01",-83,"14",NULL,"49.5","19.51",NULL
"2025-10-08 21:29:24.578852+00","lht52-01",-82,"13.8",2934,NULL,NULL,NULL
"2025-10-08 21:30:18.186806+00","lht52-01",-106,"-8.8",NULL,"49.9","19.17",NULL
"2025-10-08 21:50:18.196627+00","lht52-01",-83,"11",NULL,"50.2","18.85",NULL
"2025-10-08 22:10:18.23983+00","lht52-01",-82,"11.2",NULL,"50.4","18.51",NULL
"2025-10-08 22:30:18.30534+00","lht52-01",-85,"12.8",NULL,"50.7","18.22",NULL
"2025-10-08 22:50:18.317053+00","lht52-01",-114,"-4",NULL,"51","17.94",NULL
"2025-10-08 23:10:18.350657+00","lht52-01",-82,"13.8",NULL,"51.2","17.68",NULL
"2025-10-08 23:30:18.396087+00","lht52-01",-84,"13.5",NULL,"51.5","17.42",NULL
